external_user_id,interaction_count
u10547872,8
u10548658,11
u10548932,8
u10550368,12
u10551746,14
u10552876,12
u10554281,9
u10554398,7
u10557457,8
u10558947,12
u10559082,9
u10559199,11
u10559862,8
u10561032,10
u10561266,14
u10561670,9
u10572683,14
u10573095,11
u10574074,14
u10575853,10
u10578756,9
u10580600,13
u10580695,20
u10581133,11
u10583155,22
u10583627,19
u10584518,10
u10590304,13
u10590562,10
u10594118,8
u10594572,12
u10598226,11
u10600149,10
u10601026,12
u10606279,11
u10607321,8
u10609077,17
u10613143,13
u10614392,8
u10617040,19
u10619419,8
u10620374,20
u10620835,12
u10621555,8
u10628655,12
u10629696,20
u10633125,10
u10634840,10
u10637621,8
u10638201,7
u10639442,13
u10640519,12
u10642375,13
u10643231,15
u10643643,17
u10643990,11
u10644196,21
u10644222,15
u10644323,13
u10649,72
u10651983,21
u10652204,14
u10653084,7
u10653770,11
u10655363,13
u10655666,11
u10655915,7
u10657999,12
u10658045,9
u10661474,14
u10665430,10
u10667332,12
u10669465,13
u10671132,11
u10673006,7
u10674019,13
u10674031,11
u10675004,9
u10677769,9
u10678148,7
u10678339,17
u10680052,13
u10681401,12
u10681645,9
u10682340,10
u10682704,9
u10685150,13
u10692,9
u10693054,19
u10697642,9
u10698682,11
u10700163,8
u10701489,6
u10703927,13
u10710522,6
u10710999,12
u10715860,13
u10716875,12
u10717698,22
u10717702,12
u10717968,10
u10720504,9
u10720508,11
u10723007,10
u10723926,15
u10725706,17
u10728070,8
u10728181,12
u10730087,10
u10731704,12
u10733049,12
u10733182,13
u10733399,11
u10735536,12
u10735639,16
u10738905,12
u10739285,8
u10745395,10
u10752423,7
u10754587,7
u10755441,15
u10757069,9
u10760,13
u10763256,11
u10763683,10
u10763930,9
u10770186,7
u10771240,9
u10776036,8
u10776121,14
u10776566,9
u10777256,20
u10777938,14
u10778621,7
u10778718,13
u10781203,9
u10781926,12
u10786171,9
u10786307,10
u10786696,13
u10791229,13
u10795314,16
u10795436,9
u10795544,11
u10796480,8
u10798059,11
u10799154,10
u10799419,9
u10800548,7
u10805188,10
u10806740,11
u10815519,12
u10816914,13
u10821144,23
u10821530,11
u10823181,12
u10826027,9
u10830792,21
u10832857,14
u10835971,11
u10836650,15
u10845468,11
u10856848,11
u10859082,10
u10865742,17
u10866452,11
u10869050,11
u10870654,15
u10871902,13
u10871906,8
u10873684,15
u10873926,10
u10875047,19
u10880416,20
u10882465,13
u10883608,8
u10885334,11
u10890291,9
u10890463,30
u10890489,14
u10891123,16
u10893408,9
u10897482,11
u10900442,12
u10900974,14
u10901895,13
u10901990,11
u10905392,7
u10909309,11
u10910925,13
u10912347,15
u10915004,9
u10916499,12
u10916967,14
u10917618,12
u10918774,13
u10922292,12
u10924479,8
u10931034,8
u10931127,13
u10933923,8
u10937521,19
u10939057,11
u10944030,16
u10944877,8
u10946608,8
u10947,12
u10951,19
u10952456,8
u10952848,11
u10953,71
u10953531,8
u10954287,8
u10957483,18
u10964861,13
u10967875,9
u10970627,7
u10971508,9
u10977110,10
u10977343,11
u10977403,12
u10979157,10
u10979300,9
u10983669,8
u10985536,12
u10989216,17
u10990268,14
u10990270,8
u10992265,10
u10992686,9
u10994126,8
u10994346,8
u10995908,12
u10997189,10
u11001519,12
u11008961,12
u11009124,13
u11011037,10
u11011734,33
u11016595,11
u11017028,14
u11020003,13
u11020451,14
u11021156,12
u11025042,16
u11028920,12
u11034562,13
u11038051,22
u11039148,10
u11041046,19
u11042706,9
u11042814,11
u11047385,13
u11052961,9
u11054451,12
u11055327,10
u11056757,12
u11059423,9
u11060603,10
u11061161,6
u11064626,10
u11065497,8
u11067502,7
u11069775,13
u11075653,12
u11079409,8
u11080293,9
u11083285,11
u11084257,16
u11084747,17
u11089166,7
u11090587,14
u11091338,11
u11091467,21
u11092252,16
u11092633,15
u11097908,10
u11098,11
u11099580,12
u11100128,9
u11100331,8
u11105137,12
u11106343,11
u11109012,17
u11109358,12
u11110216,10
u11110294,9
u11112166,10
u11113477,8
u11123992,12
u11125269,12
u11126151,12
u11132275,9
u11136982,12
u11139692,16
u11145481,13
u11145780,9
u11146828,10
u11146939,8
u11147597,9
u11148684,9
u11149706,12
u11149803,10
u11150963,10
u11150984,10
u11157464,13
u11158257,12
u11158694,8
u11161792,14
u11162854,10
u11165510,13
u11167776,10
u11168583,14
u11168786,10
u11169957,9
u11173124,10
u11173454,18
u11176250,11
u11178692,10
u11180496,12
u11180810,20
u11183260,9
u11184579,12
u11184669,15
u11186834,11
u11187456,11
u11188066,12
u11189,16
u11190008,8
u11190281,10
u11192975,10
u11196,7
u11197541,7
u11198218,10
u11199969,12
u11201220,13
u11201656,6
u11202870,12
u11204997,10
u11206375,12
u11208547,11
u11209767,11
u11209904,11
u11217969,9
u11218216,13
u11219519,12
u11222627,7
u11225139,10
u11228806,9
u11231085,14
u11232513,19
u11232762,7
u11233559,11
u11234651,13
u11235455,9
u11240,15
u11240003,8
u11241388,12
u11246048,12
u11249233,8
u11252840,12
u11254245,8
u11255699,10
u11257163,13
u11260135,10
u11264355,15
u11264437,10
u11266951,8
u11267101,9
u11267264,9
u11267361,12
u11269356,8
u11269733,13
u11273049,7
u11273197,8
u11274162,8
u11275818,10
u11283102,9
u11283998,15
u11288749,22
u11292162,9
u11293383,22
u11294338,12
u11296170,15
u11297363,13
u11298883,6
u11302408,8
u11302751,9
u11305793,11
u11306660,12
u11309571,9
u11310487,11
u11310796,10
u11311608,11
u11316951,7
u11318665,7
u11319146,15
u11320042,13
u11320512,13
u11325344,13
u11327614,12
u11329808,9
u11332120,8
u11332296,13
u11335359,13
u11342431,7
u11344256,7
u11344871,10
u11349968,10
u11350290,12
u11350367,8
u11359609,14
u11360710,10
u11363,16
u11366362,14
u11367626,10
u11368139,11
u11371208,21
u11371384,18
u11371980,16
u11375406,16
u11375885,9
u11381515,9
u11384689,11
u11388448,9
u11388607,8
u11389526,8
u11391767,10
u11393984,9
u11398965,9
u11399629,9
u11404017,10
u11404131,13
u11404608,21
u11408,14
u11409658,10
u11412463,12
u11414423,13
u11416846,11
u11417299,8
u11417952,12
u11418718,18
u11422799,18
u11423743,7
u11426851,11
u11427131,11
u11427792,9
u11427882,9
u11432990,13
u11441160,10
u11442637,9
u11446091,10
u11448279,27
u11449268,13
u11449676,16
u11452519,7
u11453737,17
u11460256,10
u11467654,11
u11469096,12
u11470716,12
u11473125,10
u11473497,15
u11474472,10
u11478442,16
u11479106,7
u11482,11
u11486182,11
u11486184,9
u11498419,8
u11500846,10
u11503751,13
u11508719,9
u11510036,11
u11511551,10
u11511952,10
u11512389,15
u11514407,12
u11517943,8
u11521229,11
u11522276,14
u11522697,10
u11524517,7
u11530955,12
u11531909,8
u11535692,7
u11535766,10
u11536118,16
u11536140,14
u11536969,13
u11540,11
u11545988,16
u11546498,10
u11546771,8
u11547006,15
u11549,12
u11553209,13
u11553389,11
u11555594,13
u11557510,12
u11559208,10
u11562530,12
u11566141,9
u11567927,10
u11569833,8
u11576608,12
u11576864,8
u11579021,11
u11582449,17
u11589353,8
u11592988,16
u11593802,11
u11596017,13
u11597755,10
u11604195,11
u11608760,9
u11610805,7
u11611466,23
u11614025,12
u11614122,11
u11622318,14
u11631214,19
u11631916,16
u11632321,12
u11635618,11
u11638342,11
u11642632,12
u11644078,9
u11647590,10
u11650359,12
u11650867,9
u11651808,19
u116525,10
u116535,49
u11654816,14
u11655407,11
u116559,9
u11656744,12
u11658050,8
u11662852,12
u11663919,11
u116651,194
u116665,46
u11667843,9
u11669378,11
u11669813,8
u11669827,13
u116705,8
u11674234,9
u116756,30
u11676356,21
u11677522,10
u11681124,12
u11681901,12
u11685819,13
u11686040,9
u11686537,17
u116880,9
u116910,15
u11693248,14
u116933,88
u11693497,9
u11696652,12
u11697913,8
u117029,15
u11703274,13
u117047,10
u117079,117
u11708711,7
u117088,37
u117148,46
u117152,75
u117156,24
u11717832,10
u117196,36
u117200,28
u11721038,7
u117216,15
u117252,19
u117268,31
u11727126,12
u11730880,12
u11731473,13
u11731901,12
u11738452,8
u11742693,14
u117457,9
u11746855,12
u117491,17
u11750368,9
u11751824,12
u117524,14
u117535,35
u11754545,8
u11755313,15
u11757012,12
u11758229,12
u11758840,13
u11760541,7
u117610,10
u117651,14
u11766553,14
u11772585,9
u117742,19
u11774436,7
u11774706,20
u11776350,17
u11778120,12
u11779640,15
u117799,44
u11780292,7
u11785377,10
u11787534,11
u11787921,13
u11789409,15
u11792448,16
u117964,8
u11797949,9
u11798702,13
u11799085,12
u118006,19
u11802389,11
u11803131,11
u11806923,9
u11808263,11
u118085,16
u118095,13
u118096,16
u11810217,12
u118126,26
u11815239,10
u11816790,10
u11817144,7
u118183,22
u118189,25
u11819289,10
u11822048,13
u11824,11
u118301,48
u11831505,11
u11832665,10
u11833596,13
u11835614,11
u11840895,10
u11847441,8
u11847822,7
u118496,75
u118507,25
u11851324,18
u118539,45
u11856866,18
u118577,48
u11858612,12
u118592,18
u11860248,14
u11860492,11
u118649,21
u118657,20
u118687,22
u11871,8
u118740,39
u118749,17
u118788,13
u11882023,9
u11882315,10
u11883796,9
u11887350,6
u118875,9
u11887635,11
u118909,30
u11892032,9
u11892375,15
u11892506,16
u11895693,8
u118989,14
u11901133,9
u11901535,15
u119018,53
u11903795,14
u11903961,15
u11905224,13
u11905801,8
u11907793,10
u119099,14
u119122,79
u119138,7
u119142,25
u11917363,16
u119175,93
u119188,29
u11919971,14
u11920437,12
u11921593,12
u11923377,11
u11924448,9
u11924701,12
u11924912,16
u119254,7
u119290,9
u119310,38
u11932300,11
u119331,81
u11933612,9
u11935494,23
u11938249,13
u11940634,10
u11941341,13
u11944260,11
u119450,10
u11952917,11
u11959401,6
u11964302,12
u11966117,14
u11966901,11
u11971449,10
u119734,71
u119766,85
u11976987,8
u11977039,13
u11980878,12
u119854,11
u12000670,15
u120044,25
u12004412,8
u120054,63
u12008942,13
u120100,14
u12011120,10
u120121,101
u12017939,12
u12019875,15
u12022601,8
u120247,9
u120352,14
u120400,61
u12043902,20
u12047807,10
u120489,128
u12050256,12
u12051404,8
u120517,17
u120537,13
u12054719,8
u12055100,10
u12057910,12
u120602,12
u120619,32
u120631,49
u120639,13
u120711,8
u120752,49
u120784,118
u120799,32
u120815,78
u120880,28
u120887,46
u12093260,12
u12095222,9
u120968,41
u12099154,10
u120994,13
u121035,52
u12108946,17
u121098,30
u121135,16
u12113679,7
u12114463,15
u12114599,14
u12118250,16
u12118369,8
u12118472,9
u121217,29
u121221,30
u121233,49
u12130196,12
u121319,59
u121343,16
u12134681,12
u121398,20
u12142432,10
u12144402,10
u12147813,46
u12147836,9
u121516,30
u12151894,6
u12153667,25
u121543,26
u12157,27
u121593,27
u12160977,12
u12161509,7
u12164288,10
u121643,20
u121647,34
u121648,18
u12170276,9
u12172735,10
u121734,39
u12174426,10
u12174989,11
u12181255,9
u121828,87
u121840,17
u12184590,11
u12188969,14
u121906,28
u121907,17
u121921,7
u121934,31
u12193584,9
u12197960,12
u122014,21
u12201666,12
u122023,33
u12204157,8
u12204712,10
u122061,12
u12207156,9
u122093,22
u12209311,12
u122104,49
u12211864,7
u12212547,6
u12215524,13
u12215615,10
u12218589,8
u122187,57
u12219474,10
u12220869,13
u12221920,13
u122244,14
u12226642,13
u12226953,13
u12227426,11
u12227641,12
u122301,9
u12230478,9
u122328,72
u122336,30
u122358,24
u12236862,8
u12242459,12
u122426,77
u12245662,11
u122487,11
u12248775,9
u12249652,12
u122616,37
u12262231,9
u122683,21
u12270127,10
u12270269,7
u12273131,7
u122739,18
u122795,8
u12280436,9
u122805,25
u122851,17
u122906,34
u12296010,11
u12297158,7
u123007,77
u123017,14
u123052,18
u12308353,8
u12309947,11
u12311242,6
u123163,32
u12325595,10
u12327679,9
u12328437,10
u12330548,7
u12330769,13
u123345,17
u12337691,14
u12338991,11
u123395,36
u12342285,9
u12343262,6
u123433,13
u123454,10
u12345669,17
u12352010,8
u12353386,15
u123534,9
u12356018,10
u123578,34
u123591,28
u12359308,11
u12360152,8
u123612,10
u12368407,14
u12371406,11
u12373161,12
u123751,11
u123760,26
u12376884,8
u123775,20
u12378166,14
u123788,13
u123801,25
u12381437,20
u12386765,8
u123881,19
u12391493,13
u12391553,9
u12392030,23
u12392281,10
u123964,94
u124037,77
u124076,18
u124085,12
u12408917,10
u124099,13
u124105,11
u124128,15
u12414521,10
u12414612,15
u12417314,8
u12417346,11
u124187,28
u12427291,7
u124275,11
u12435246,10
u12437468,24
u12437956,7
u124380,14
u12446894,12
u12451562,15
u12455471,9
u124557,18
u124573,40
u124580,9
u12463017,9
u12464433,10
u12470090,8
u12473,9
u12480210,9
u12480786,12
u124825,12
u124857,67
u124884,7
u124971,40
u12503683,22
u125054,12
u12509133,10
u125116,63
u125151,20
u125163,16
u12516565,10
u12516771,9
u125192,31
u12520869,8
u12521587,12
u12522668,14
u12526792,8
u12527868,18
u12532,12
u12536286,16
u12537132,23
u12540158,12
u125403,58
u125474,31
u12547944,9
u12548920,11
u12549771,11
u12549944,11
u125503,30
u125504,12
u125526,11
u125539,15
u12559173,9
u12561627,14
u12564174,13
u125655,97
u12565533,9
u12570088,10
u125707,44
u12573483,10
u125766,44
u12578559,14
u12581594,12
u12585231,9
u125858,12
u12586732,10
u12590557,9
u125917,14
u125918,17
u12592331,11
u12593161,11
u125944,11
u125965,27
u125966,16
u12598962,7
u126009,48
u126014,18
u126023,14
u12602933,13
u12606059,11
u12607467,16
u126076,19
u126092,11
u12613118,12
u126142,32
u12616218,10
u126249,7
u12629294,10
u126325,15
u126327,10
u12633600,9
u126337,63
u12639924,9
u12640748,10
u12641622,8
u126422,26
u12642521,9
u12646274,12
u126488,14
u12651224,15
u126528,10
u126543,25
u126585,14
u126596,51
u126604,7
u126605,193
u126609,76
u12662956,10
u126633,36
u126667,19
u126674,10
u12667957,17
u126710,14
u12671172,8
u12675672,11
u126825,10
u126833,17
u12685171,11
u12685587,12
u126857,31
u12685918,17
u126897,106
u12690779,12
u126952,11
u12695206,9
u126998,8
u12699952,9
u12713231,12
u12717226,9
u127197,70
u12720215,9
u12721274,10
u127216,46
u12721720,14
u12722193,8
u127231,16
u12726116,13
u12728154,10
u12729849,14
u127299,68
u12732418,18
u12732419,10
u12732466,10
u12739732,11
u127402,22
u127418,47
u127426,37
u127451,11
u12749678,11
u12750,66
u12753028,14
u12754505,14
u127549,9
u127555,90
u12758862,11
u12759797,8
u12759868,7
u127599,23
u12762692,15
u127637,77
u127677,9
u127691,11
u12769818,9
u127709,20
u12772163,11
u12772199,10
u127722,275
u127725,12
u127734,12
u127771,55
u127779,25
u127786,32
u127795,23
u12784495,11
u127847,26
u127895,24
u12789991,10
u12793304,10
u12794534,12
u12795026,10
u12795084,11
u127968,18
u128013,11
u128017,46
u128162,14
u128171,51
u128179,15
u12818358,9
u128288,35
u12832102,6
u12834362,23
u12839289,6
u128434,10
u12845139,12
u12854909,11
u12856960,11
u128607,79
u12869484,10
u128705,12
u128719,23
u12876637,11
u12879262,14
u128797,42
u12882,9
u128898,15
u12892125,11
u128937,79
u12894617,13
u12894858,9
u12895743,14
u12899624,11
u12901923,11
u12916599,10
u129167,16
u12919476,10
u12922554,9
u129234,15
u129267,31
u129314,9
u129349,25
u129356,11
u12937557,18
u129389,12
u129394,28
u12944347,14
u129452,24
u129471,31
u12948646,7
u129497,12
u129683,41
u12973493,8
u129736,21
u12976032,9
u12981213,11
u12991622,11
u12993097,7
u130017,44
u13003023,8
u13013113,7
u13013758,9
u13017681,10
u130190,19
u13021,10
u13026057,8
u13026731,10
u13045024,8
u13045695,7
u130479,15
u13049642,7
u130557,11
u13056398,7
u130585,14
u13058782,13
u13063,20
u130631,170
u130651,23
u13067447,8
u13068886,12
u13074063,11
u13078456,12
u130807,44
u13083262,10
u13084846,12
u13089335,9
u130901,38
u130912,25
u13092450,10
u13093792,13
u130986,103
u13101144,13
u131012,14
u13102043,13
u131061,10
u13106461,10
u131099,13
u13110299,13
u13112085,12
u131171,12
u131181,12
u131234,103
u131271,24
u131354,22
u13136735,10
u13140765,10
u131448,13
u131506,119
u131554,7
u131584,21
u13159266,7
u131593,18
u131673,30
u131698,20
u131712,14
u131735,11
u13174909,14
u131947,14
u13195055,12
u131971,44
u13198364,13
u13198862,11
u131989,12
u131993,13
u131999,118
u13207808,12
u132107,34
u13211517,13
u13215743,11
u13221482,12
u13226564,7
u132270,8
u13230421,18
u132318,25
u13232012,10
u13233212,9
u13234293,9
u132357,70
u132373,37
u132411,14
u132470,33
u132485,77
u13249,16
u132521,12
u132575,10
u132611,19
u13262,38
u132623,15
u13265171,7
u13269626,9
u132698,27
u13270589,10
u132725,13
u132741,15
u13280710,11
u13284220,8
u13286679,9
u133004,25
u13308762,9
u133088,80
u133098,20
u133124,16
u13315059,11
u133164,25
u133175,14
u13321130,12
u13323020,17
u133286,11
u13330012,13
u13333943,6
u13340,33
u13340242,10
u133403,12
u13351133,12
u13354645,9
u13354794,13
u133559,15
u13357775,11
u13360664,10
u13361835,8
u133619,68
u13364427,8
u13369844,8
u13372594,7
u133783,43
u13379321,11
u13380656,7
u133811,77
u133910,16
u13399586,11
u13407399,9
u13412498,15
u134133,11
u13415983,11
u13417269,9
u134178,10
u13419093,11
u13419200,9
u134216,10
u13426086,8
u134281,22
u134292,20
u13433436,13
u13438420,9
u13444521,13
u134506,270
u13455664,9
u13456,28
u134570,11
u13460776,8
u134714,35
u13471973,6
u13473671,10
u13474673,9
u13477758,35
u13479292,14
u134801,17
u13483893,12
u134846,43
u134886,8
u13489768,28
u13490781,13
u134960,13
u135156,42
u13521826,8
u135221,10
u135286,10
u13538,16
u13541813,9
u13559856,11
u13560666,18
u135677,27
u135702,12
u135762,6
u135775,15
u13578154,10
u13578493,9
u135871,18
u135982,27
u136013,24
u136058,40
u13615101,10
u13615489,10
u136177,9
u136315,26
u13644444,10
u13645993,9
u136469,16
u136577,42
u136683,18
u136711,21
u136714,18
u136735,24
u13675,25
u136816,10
u136860,11
u13686562,11
u136874,20
u13693905,8
u13698446,13
u137161,29
u137169,65
u13718360,8
u137266,59
u137303,8
u13739511,11
u13744828,9
u13745951,11
u137531,11
u13753462,9
u13756326,12
u137768,52
u13781549,8
u137837,8
u137886,12
u13790471,13
u137934,10
u137964,107
u138004,7
u138091,10
u13810202,12
u138120,17
u13812604,9
u138127,22
u138135,17
u138252,15
u138337,7
u13840,24
u13840024,6
u13850,11
u138532,20
u13856054,8
u13856202,13
u138570,45
u138643,11
u13872806,10
u138752,31
u138758,20
u138759,10
u13876383,12
u138876,9
u138882,11
u138974,9
u138994,9
u139005,36
u139106,11
u139122,12
u13912243,11
u139128,19
u139217,10
u13923,14
u139260,22
u13929270,12
u13930833,9
u139333,11
u139341,42
u139417,11
u13942057,12
u139514,42
u139530,14
u139582,47
u139695,10
u13971539,12
u139725,7
u13976434,10
u139816,33
u139875,9
u13990116,15
u13992377,10
u13996,8
u140013,13
u140018,26
u14006662,9
u14011715,12
u140214,20
u140258,14
u140313,13
u14031779,9
u14036114,7
u140370,15
u140394,37
u140422,25
u14046147,11
u140499,12
u140526,21
u14055692,9
u14057307,7
u14060274,12
u140611,44
u140622,19
u140670,69
u14067960,15
u14068710,13
u14072613,15
u140742,35
u14078065,15
u140783,36
u140795,23
u14084,12
u14087015,12
u14088,19
u140917,10
u140947,9
u141011,25
u14104247,8
u141043,7
u14108,29
u14122293,7
u141226,15
u14124,20
u14132988,8
u14134104,11
u141362,10
u14139182,12
u14140315,10
u14140946,7
u141596,92
u14190954,14
u141939,42
u142175,7
u142195,22
u142247,13
u14233,14
u14233999,12
u14235919,10
u142393,14
u142400,31
u142414,17
u142436,56
u14244116,14
u14251062,12
u142535,13
u14255049,11
u142576,39
u14259143,16
u14263971,9
u142650,7
u142744,6
u14278131,10
u142793,32
u14299888,8
u143028,56
u143046,12
u14307,19
u143142,51
u143145,13
u143187,22
u14321338,7
u14327489,14
u14329,14
u14330621,10
u143385,10
u143408,12
u14347995,8
u14349255,12
u143532,71
u14358359,8
u143600,28
u143606,33
u14363739,12
u143650,54
u143752,28
u14382223,9
u14383040,16
u143840,21
u143850,44
u14385228,6
u143873,8
u14387350,10
u143874,10
u14391101,12
u14391992,11
u143933,24
u143958,48
u14398206,12
u143989,10
u14403,8
u144060,16
u144093,50
u144121,10
u144136,31
u144161,9
u144190,8
u14421,11
u14427266,10
u14429525,8
u144339,12
u144360,10
u14439378,13
u144438,23
u144471,13
u144475,43
u144537,42
u14463967,9
u144692,30
u144724,27
u14473827,17
u14474890,10
u14480624,11
u14481929,7
u144846,58
u14486790,12
u144936,20
u14493724,11
u144940,22
u14501988,12
u14517808,7
u145179,10
u145197,16
u145201,28
u14520997,14
u14525,8
u14535,25
u14537633,14
u145381,15
u145476,8
u14547942,9
u145516,9
u145520,19
u14557860,10
u145653,26
u145718,51
u145743,24
u14583939,14
u14589484,8
u14590,21
u145901,53
u14590698,15
u145907,28
u145952,30
u14604655,12
u146080,45
u146131,17
u146133,12
u146146,38
u146210,52
u146239,12
u14626926,13
u146299,30
u14630658,11
u146363,6
u146385,60
u146605,41
u146623,32
u146644,10
u146788,10
u146807,25
u146841,21
u146927,11
u146974,12
u14717663,10
u14721045,12
u147259,8
u14726,9
u147285,21
u14733263,12
u14737810,8
u147380,12
u14739204,8
u147422,27
u14743001,6
u14751,27
u147528,34
u147723,16
u14784130,10
u147870,31
u147901,7
u147920,9
u14793,13
u147941,60
u148037,12
u14804056,10
u14804187,9
u148091,13
u14810084,7
u148178,9
u148179,34
u148197,12
u14821767,8
u148261,47
u148287,19
u148336,18
u14843110,9
u148448,28
u148458,13
u14849354,9
u14851527,6
u14856559,12
u148642,14
u148689,8
u14869451,14
u14890070,12
u14900393,9
u149079,37
u149172,45
u149287,9
u149307,23
u149336,11
u14945432,10
u149615,12
u149649,7
u149652,38
u149656,53
u149684,9
u149732,25
u14979463,16
u149804,22
u149843,11
u149844,19
u149906,50
u149947,8
u15003249,8
u15012193,10
u150134,12
u150161,28
u150177,55
u150209,30
u150233,11
u150285,17
u150290,18
u150320,32
u15042204,7
u15043323,9
u150443,48
u150513,14
u150548,10
u150562,19
u150599,16
u15063859,11
u15065937,10
u150695,62
u150766,25
u150771,11
u15079211,10
u15080274,9
u15100846,8
u15102522,10
u151030,37
u151061,11
u15121827,12
u151283,22
u151330,29
u151348,9
u151380,26
u151411,16
